# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_AEBracketingStep, Description: Auto Exposure Bracketing Step, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_WBBracketingStep, Description: White balance Bracketing Step, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_BracketingCount, Description: Bracketing Count, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_CameraInclination, Description: Camera Inclination, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_CaptureDustImage, Description: Capture Dust Removal Reference Image, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_ExternalFlashSort, Description: External Flash Sort, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ExternalNewTypeFlashMode, Description: External New Type Flash Mode, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_InternalFlashStatus, Description: Internal Flash Status, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ExternalFlashStatus, Description: Flash Status, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_InternalFlashComp, Description: Internal Flash Comp, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ExternalFlashComp, Description: External Flash Comp, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_AFMode, Description: AF Mode, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_ISOAutoShutterTime, Description: ISO Auto Shutter Time, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_CameraInclinationMode, Description: Camera Inclination Mode, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_CCDDataMode, Description: CCD Data Mode, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_JpegCompressionPolicy, Description: Jpeg Compression Policy, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_CameraType, Description: Camera Type, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_NoiseReductionHighISO, Description: Noise Reduction High ISO, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_ImageColorSpace, Description: Image Color Space, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_ISOAutoHiLimit, Description: ISO Auto Hi Limit, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_AFCapture, Description: AF Capture, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_InfoDisplayErrStatus, Description: Information Display Error Status, Type: kNkMAIDCapType_Boolean, Operations: 22
